demanda_preajuste,inventario_preajuste,produccion_preajuste,precio_preajuste,volatilidad_precio,subida_brusca_precio,escasez
1381.0,0.0,1274.0,10.0,0.5,0,0
1379.0,0.0,1425.0,11.0,0.4714,0,0
1377.0,33.0,1543.0,11.0,0.5,0,0
1390.0,141.0,1555.0,10.0,0.74833,0,0
1362.0,214.0,1507.0,9.0,1.06719,0,0
1382.0,251.0,1409.0,8.0,1.17803,0,0
1406.0,195.0,1360.0,8.0,1.21835,0,0
1385.0,104.0,1376.0,8.0,1.1547,0,0
1411.0,68.0,1395.0,9.0,1.1,1,0
1395.0,45.0,1449.0,9.0,1.05235,1,0
1404.0,69.0,1387.0,9.0,1.0274,1,0
1394.0,37.0,1398.0,10.0,1.00295,1,0
1363.0,29.0,1464.0,10.0,0.97938,1,0
1403.0,91.0,1456.0,10.0,0.95219,0,0
1392.0,101.0,1398.0,9.0,0.92702,0,0
1397.0,76.0,1424.0,9.0,0.90366,0,0
1361.0,72.0,1419.0,9.0,0.88192,0,0
1359.0,91.0,1346.0,9.0,0.86162,0,0
1405.0,55.0,1415.0,9.0,0.84261,0,0
1395.0,46.0,1409.0,9.0,0.84261,1,0
1389.0,46.0,1455.0,10.0,0.76649,1,0
1374.0,78.0,1472.0,10.0,0.65383,0,0
1375.0,123.0,1370.0,9.0,0.6245,0,0
1394.0,83.0,1416.0,9.0,0.6245,0,0
1380.0,74.0,1362.0,9.0,0.6,0,0
1370.0,39.0,1391.0,10.0,0.55678,1,0
1399.0,43.0,1406.0,10.0,0.58949,1,0
1358.0,36.0,1480.0,11.0,0.59161,1,0
1369.0,112.0,1452.0,10.0,0.58949,0,0
1416.0,137.0,1432.0,10.0,0.58949,0,0
1388.0,108.0,1426.0,9.0,0.59161,0,0
1381.0,104.0,1363.0,9.0,0.58949,0,0
1383.0,60.0,1425.0,9.0,0.5831,0,0
1407.0,71.0,1381.0,9.0,0.58949,1,0
1424.0,32.0,1366.0,10.0,0.66895,1,0
1388.0,0.0,1526.0,11.0,0.66332,1,0
1368.0,97.0,1473.0,10.0,0.66332,0,0
1387.0,140.0,1381.0,9.0,0.66332,0,0
1395.0,94.0,1431.0,9.0,0.66332,0,0
1385.0,92.0,1436.0,9.0,0.66895,0,0
1447.0,101.0,1445.0,9.0,0.67082,0,0
1521.0,69.0,1451.0,9.0,0.66895,1,0
1431.0,4.0,1594.0,10.0,0.66332,1,0
1521.0,118.0,1585.0,10.0,0.66332,0,0
1523.0,129.0,1547.0,9.0,0.66895,0,0
1580.0,108.0,1569.0,9.0,0.67082,0,0
1634.0,69.0,1536.0,9.0,0.58949,0,0
1618.0,0.0,1714.0,10.0,0.58949,1,0
1646.0,68.0,1734.0,10.0,0.58949,1,0
1687.0,111.0,1669.0,10.0,0.59161,1,0
1752.0,65.0,1709.0,10.0,0.66332,0,0
1780.0,17.0,1857.0,11.0,0.71414,0,0
1810.0,66.0,1828.0,11.0,0.85294,1,0
1878.0,60.0,1864.0,12.0,0.9734,1,0
1916.0,32.0,1888.0,12.0,1.16082,1,0
1931.0,3.0,2069.0,13.0,1.32665,1,0
1983.0,99.0,2022.0,13.0,1.42829,0,0
2004.0,98.0,1891.0,13.0,1.58981,1,0
2031.0,0.0,2105.0,14.0,1.80208,1,0
2022.0,52.0,2202.0,15.0,1.86011,0,0
2160.0,163.0,2168.0,14.0,1.88348,0,0
2162.0,120.0,2075.0,14.0,1.93067,0,0
2297.0,23.0,2181.0,14.0,2.10891,0,0
2264.0,0.0,2423.0,16.0,2.17025,1,0
2321.0,111.0,2328.0,16.0,2.17428,1,0
2411.0,82.0,2307.0,16.0,2.2017,1,0
2432.0,6.0,2532.0,17.0,2.33399,1,0
2504.0,75.0,2674.0,18.0,2.31517,0,0
2534.0,170.0,2445.0,17.0,2.31517,1,0
2580.0,57.0,2543.0,18.0,2.3297,1,0
2622.0,14.0,2724.0,19.0,2.44745,1,0
2677.0,81.0,2801.0,20.0,2.39792,1,0
2671.0,143.0,2758.0,19.0,2.37224,0,0
2820.0,160.0,2742.0,19.0,2.36379,0,0
2875.0,58.0,2775.0,20.0,2.4551,0,0
2875.0,19.0,2956.0,21.0,2.5671,1,0
2913.0,70.0,3006.0,22.0,2.5976,1,0
3037.0,113.0,2980.0,22.0,2.81913,1,0
3096.0,40.0,3134.0,24.0,3.21559,1,0
3168.0,54.0,3295.0,26.0,3.41467,1,0
3100.0,128.0,3172.0,26.0,3.50143,1,0
3059.0,139.0,3256.0,26.0,3.34813,0,0
3040.0,237.0,2990.0,24.0,3.28786,0,0
2976.0,130.0,2987.0,24.0,3.17648,0,0
2888.0,98.0,2948.0,24.0,3.05737,0,0
2859.0,112.0,2989.0,25.0,2.91376,0,0
2751.0,171.0,2872.0,24.0,2.77984,0,0
2744.0,206.0,2869.0,23.0,2.51794,0,0
2639.0,233.0,2797.0,22.0,2.43875,0,0
2603.0,275.0,2649.0,19.0,2.43875,0,0
2534.0,224.0,2499.0,19.0,2.57439,0,0
2494.0,132.0,2459.0,18.0,2.57439,0,0
2497.0,68.0,2618.0,19.0,2.64764,0,0
2353.0,132.0,2483.0,18.0,2.85088,0,0
2347.0,184.0,2368.0,17.0,3.05737,0,0
2301.0,144.0,2367.0,17.0,3.24191,0,0
2255.0,146.0,2275.0,17.0,3.33916,0,0
2181.0,117.0,2343.0,18.0,3.42454,0,0
2191.0,195.0,2183.0,17.0,3.29962,0,0
2086.0,131.0,2236.0,18.0,3.29545,0,0
2031.0,197.0,2173.0,15.0,3.27719,0,0
2029.0,238.0,2073.0,14.0,3.33017,0,0
1955.0,199.0,2110.0,14.0,3.38342,0,0
1926.0,248.0,1933.0,13.0,3.42746,0,0
1862.0,179.0,1935.0,12.0,3.2573,0,0
1792.0,178.0,1899.0,12.0,3.15079,0,0
1761.0,199.0,1810.0,11.0,3.11448,0,0
1708.0,174.0,1763.0,10.0,3.05614,0,0
1677.0,159.0,1719.0,10.0,3.23883,0,0
1673.0,142.0,1637.0,9.0,3.26305,0,0
1618.0,75.0,1663.0,10.0,3.29355,0,0
1608.0,83.0,1656.0,10.0,3.2,0,0
1579.0,92.0,1643.0,10.0,3.1241,1,0
1515.0,110.0,1602.0,10.0,3.1241,0,0
1463.0,137.0,1572.0,9.0,3.07246,0,0
1431.0,174.0,1514.0,9.0,3.02448,0,0
1450.0,180.0,1434.0,8.0,2.80134,0,0
1388.0,114.0,1383.0,8.0,2.53919,0,0
1371.0,75.0,1397.0,9.0,2.00998,0,0
1365.0,71.0,1381.0,9.0,1.76352,1,0
1324.0,62.0,1432.0,9.0,1.56445,1,0
1355.0,120.0,1330.0,9.0,1.28841,0,0
1347.0,66.0,1344.0,9.0,1.06184,1,0
1330.0,45.0,1336.0,10.0,0.9206,1,0
1337.0,36.0,1403.0,10.0,0.73993,1,0
1330.0,72.0,1361.0,10.0,0.66332,1,0
1355.0,71.0,1378.0,10.0,0.66332,0,0
1351.0,67.0,1321.0,10.0,0.66332,0,0
1347.0,49.0,1412.0,10.0,0.66895,0,0
1338.0,80.0,1423.0,10.0,0.66895,0,0
1292.0,115.0,1375.0,10.0,0.66332,0,0
1337.0,141.0,1297.0,9.0,0.65383,0,0
1355.0,72.0,1362.0,9.0,0.64031,0,0
1325.0,56.0,1355.0,9.0,0.64031,0,0
1349.0,62.0,1379.0,9.0,0.64031,0,0
1373.0,64.0,1352.0,9.0,0.5831,1,0
1347.0,29.0,1451.0,10.0,0.49749,0,0
1334.0,93.0,1402.0,9.0,0.49749,0,0
1360.0,113.0,1355.0,9.0,0.49749,0,0
1342.0,78.0,1379.0,9.0,0.49749,0,0
1367.0,80.0,1394.0,9.0,0.49749,0,0
1332.0,76.0,1364.0,9.0,0.49749,0,0
1339.0,77.0,1374.0,9.0,0.4899,0,0
